2026-05-10 12:22:34.772259 | GET | /products | 200
2026-05-10 12:22:41.939306 | GET | /products | 200
2026-05-10 12:22:55.093817 | POST | /register | 400
2026-05-10 12:23:08.383666 | POST | /login | 200
2026-05-10 12:35:20.884204 | GET | /docs | 200
2026-05-10 12:35:20.961527 | GET | /openapi.json | 200
2026-05-10 12:35:23.465324 | GET | / | 200
2026-05-10 12:40:04.345446 | GET | /products | 200
2026-05-10 12:41:27.377911 | GET | /products | 200
2026-05-10 12:42:26.380712 | POST | /products | 200
2026-05-10 12:42:47.234447 | GET | /products | 200
2026-05-10 12:44:26.329329 | PUT | /products/1 | 200
2026-05-10 12:44:32.241891 | PUT | /products/0 | 404
2026-05-10 12:44:34.580920 | PUT | /products/1 | 200
2026-05-10 12:45:31.777062 | DELETE | /products/1 | 200
2026-05-10 12:47:01.439198 | POST | /register | 400
2026-05-10 12:47:20.895868 | POST | /register | 200
2026-05-10 12:48:02.094650 | POST | /login | 200
